Feature.ID	Confidence.y	Kingdom	Phylum	Class	Order	Family	Genus	Species
4184a339c27573cb194c7d66d695ce42	0.9818696321804821	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	NA
acfe4d3793afa88da8252cc701d95872	0.9999957946175505	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__
b152dda60e417580eed6fdd8e56fd49f	0.9984865268556022	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__
644ebf243a44536a1b03ce790503688f	0.9214730627005783	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__
2be7be0894c949151144bef71450c71d	0.967364000842027	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__
816295a9822b056324520edfbc5e01aa	0.998165172187641	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__	s__
6521bfc0ef018085331af0557da3d847	0.9998452448797884	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__
37f28826f995df5675cd6adccb26f9bd	0.9997079144333354	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae	g__	s__
0d648c8248938a272ac1b2305434fb6f	0.9297966693409153	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Erwinia	s__
2bfc479ee66ceb84c45598d19ac1d2d2	0.9997130292479333	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__
c42e1a4973782108f6ebd574b45f8f65	0.999999998234145	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__
00d00fbddbacc2f793aa6c7d79abd868	0.9274975485846413	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__
f913c477adbb33b2945b1fcbea1464b5	0.7889500226885713	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__lwoffii
7cf6ce088a2bca239fa0c311be596c44	0.7138639453632017	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__cryoconitis
bc6d0a2d3e7ed01479403372ca0a5313	0.9999677608217462	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	NA
943030041ff0bddfb74d4c9e6354e4b8	0.9999993955897867	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	NA	NA
c9d510cda7c3ab507c9385091b1ea1dc	0.9980851182322017	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__
60c87cd51b0d5d66ced726717904a365	0.9994169099788425	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__
20eb6bd8c763faae28e23f5592075cb9	0.999999999998721	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Anaerococcus	s__
55a4b23d212afef8ae7c44b52f306f4a	0.9997398083871307	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__
96eb4213e661e5485bcbfcf635c079c3	0.9999992786708604	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__
2323db3370485af6a3aef0ccad81443d	0.9741192071834607	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__
38961898e313de24dd087f927ca879ab	0.9999930085833003	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Anaerococcus	s__
0dc1a104698fe123771a6ef428d5f4cb	0.9999999897229657	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica
676ebe4992b94d0a26e33d8fa04d5b4b	0.9999999896712239	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Anoxybacillus	s__kestanbolensis
a04ce8055ed83db7f3595c71b80c0e53	0.9999999942582178	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__canimorsus
b7a0de45c0470f543db3e643dc059ce3	0.9997405252876705	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Bergeyella	s__zoohelcum
5fae2d34b123b550b3090c7fa76c44eb	0.9999983833497591	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	NA	NA	NA
566ca4b031be174be911d72e8834c7c4	0.9999998440822658	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__prausnitzii
f9b6ec42170ba038c855471b665fe818	0.730684451540347	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
aa28cd33608bd2ae0faf5c70c61ab960	0.9998492815034837	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Agromyces	s__
1ecc400d935aed4fef3d5de1d193b57c	0.9999943144487611	k__Bacteria	p__FBP	c__	o__	f__	g__	s__
